CATEGORY,word,distance
apologetic,ups,1.0
apologetic,disculparse,1.0
apologetic,disculpas,1.0
apologetic,disculpa,1.0
apologetic,perdóname,1.0
apologetic,ups,0.9459829330444336
apologetic,disculpas,0.79742830991745
apologetic,diculpas,0.7564676403999329
apologetic,perdoname,0.7553037405014038
apologetic,disculpas,0.7521457672119141
apologetic,disculpa,0.7521456480026245
apologetic,perdóname,0.7514017224311829
apologetic,discúlpame,0.7249969840049744
apologetic,disculpe,0.7220074534416199
apologetic,disculpa,0.7169515490531921
apologetic,disculpo,0.7141249775886536
apologetic,oops,0.5846286416053772
apologetic,perdón,0.5274096131324768
apologetic,sorry,0.524968683719635
apologetic,perdon,0.5137495994567871
apologetic,ooops,0.5109928846359253
apologetic,downs,0.5060763955116272
apologetic,disculpa,0.5048903822898865
deference,excelente,1.0
deference,bien,1.0
deference,lindo,1.0
deference,interesante,1.0
deference,frío,1.0
deference,impresionante,1.0
deference,frio,0.880107045173645
deference,espectacular,0.877955436706543
deference,frió,0.8676578998565674
deference,increíble,0.8450399041175842
deference,hermoso,0.8357232809066772
deference,bién,0.7993342280387878
deference,interesante,0.7963998317718506
deference,alucinante,0.7914211750030518
deference,frío,0.7911143898963928
deference,interesantísimo,0.7862934470176697
deference,increible,0.7851333022117615
deference,calor,0.7791728377342224
deference,lindisimo,0.7746222019195557
deference,lindísimo,0.7717352509498596
deference,bonito,0.7701941132545471
deference,exelente,0.7654708027839661
deference,exelente,0.7654708027839661
deference,interesantísima,0.7609277367591858
deference,expectacular,0.7589700818061829
deference,intersante,0.7533169984817505
deference,interesente,0.7495501041412354
deference,lindo,0.7480855584144592
deference,excelente,0.7473339438438416
deference,excelente,0.7473339438438416
deference,buena,0.7450405955314636
deference,buena,0.7450405955314636
deference,bello,0.737303614616394
deference,gélido,0.7359745502471924
deference,excelnte,0.7321560978889465
deference,excelnte,0.7321560978889465
deference,mal,0.7308884859085083
deference,execelente,0.7225701808929443
deference,execelente,0.7225701808929443
deference,bien,0.721596360206604
deference,perfectamente,0.7212449312210083
deference,bonito,0.7062186002731323
deference,bueno,0.7055858373641968
deference,excelentemente,0.7046036720275879
deference,excelente,0.7021757364273071
deference,estupendo,0.6881794929504395
deference,hermoso,0.6854242086410522
deference,genial,0.6669689416885376
deference,frío,0.6598008871078491
deference,maravilloso,0.6506436467170715
